Unnamed: 0,participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
87,gr,2.0,2.0,0.4,1.083893832983449,5.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.5454545454545454,0.8260869565217391
88,gr,1.0,1.0,0.025,0.5071233329945244,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.8260869565217391
89,gr,1.0,1.0,0.425,0.2509160820045508,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.4166666666666667,0.8260869565217391
90,gr,1.0,1.0,0.425,0.2570084580220282,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.4166666666666667,0.8260869565217391
91,gr,1.0,1.0,0.3,0.2435364989796653,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.6363636363636364,0.8260869565217391
92,gr,1.0,1.0,0.125,1.0435091240215115,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.8260869565217391
93,gr,1.0,1.0,0.175,0.2595263330149464,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.6666666666666666,0.8260869565217391
94,s,1.0,1.0,0.225,0.4532844999921508,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5,0.5421686746987951
95,s,1.0,2.0,0.4,1.6997740420047194,2.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.5454545454545454,0.5421686746987951
96,s,1.0,1.0,0.1,1.2240150420111604,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5384615384615384,0.5421686746987951
97,s,1.0,2.0,0.1,0.9750789160025306,2.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.5384615384615384,0.5421686746987951
98,s,2.0,2.0,0.025,1.2226241659955122,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5454545454545454,0.6666666666666666
99,s,2.0,2.0,0.225,1.456728250021115,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5,0.6666666666666666
100,s,2.0,2.0,0.45,1.060242958017625,4.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.6666666666666666,0.7647058823529411
101,s,1.0,2.0,0.2,0.9759617079980673,3.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.625,0.6666666666666666
102,s,1.0,1.0,0.025,1.7451440829900091,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.5421686746987951
103,s,2.0,2.0,0.35,1.018751333002001,4.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.875,0.7647058823529411
104,s,1.0,1.0,0.2,2.5603512920206413,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.625,0.5421686746987951
105,s,1.0,1.0,0.05,0.7754428330226801,2.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.5421686746987951
106,s,1.0,1.0,0.15,2.561714290990494,3.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.7142857142857143,0.6666666666666666
107,s,2.0,2.0,0.125,1.241942749998998,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5789473684210527,0.6666666666666666
108,s,2.0,1.0,0.325,2.5017925419961102,3.0,0.0,0.66,0.5333333333333333,0.5684931506849316,0.6,0.6666666666666666
109,s,2.0,1.0,0.225,2.0043107079691254,3.0,0.0,0.66,0.5333333333333333,0.5684931506849316,0.5,0.6666666666666666
110,s,2.0,2.0,0.475,0.5311214579851367,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.6153846153846154,0.6666666666666666
111,s,1.0,2.0,0.15,2.7408203749801032,2.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.7142857142857143,0.5421686746987951
112,s,1.0,1.0,0.125,0.713355915970169,3.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5789473684210527,0.6666666666666666
113,s,1.0,1.0,0.4,0.784381541016046,4.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.7647058823529411
114,s,1.0,1.0,0.175,0.8710249160067178,3.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.6666666666666666,0.6666666666666666
115,s,1.0,1.0,0.475,0.5767410419648513,4.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.6153846153846154,0.7647058823529411
116,s,1.0,1.0,0.375,0.6132114159991033,4.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.875,0.7647058823529411
117,s,1.0,2.0,0.175,3.126188041991554,3.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.6666666666666666,0.6666666666666666
118,s,2.0,2.0,0.05,1.2479617079952732,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5789473684210527,0.6666666666666666
119,s,2.0,2.0,0.125,2.0953506659716368,2.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5789473684210527,0.5421686746987951
120,s,2.0,1.0,0.125,7.332868625002447,3.0,0.0,0.66,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.6666666666666666
121,s,1.0,2.0,0.05,1.270484457956627,1.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.5789473684210527,0.4117647058823529
122,s,1.0,2.0,0.275,1.3112611250253394,2.0,0.0,0.66,0.7614678899082569,0.7346938775510204,0.5454545454545454,0.5421686746987951
123,s,2.0,1.0,0.325,0.7019539579632692,2.0,0.0,0.66,0.5333333333333333,0.5684931506849316,0.6,0.5421686746987951
124,s,1.0,1.0,0.15,0.6373665829887614,3.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.7142857142857143,0.6666666666666666
125,s,2.0,1.0,0.3,0.4395015829941258,2.0,0.0,0.66,0.5333333333333333,0.5684931506849316,0.6363636363636364,0.5421686746987951
126,s,2.0,2.0,0.275,0.7067971660289913,3.0,1.0,0.66,0.5333333333333333,0.7346938775510204,0.5454545454545454,0.6666666666666666
127,s,2.0,1.0,0.325,1.381797208043281,2.0,0.0,0.66,0.5333333333333333,0.5684931506849316,0.6,0.5421686746987951
128,s,1.0,1.0,0.1,0.5756511240033433,4.0,1.0,0.66,0.7614678899082569,0.5684931506849316,0.5384615384615384,0.7647058823529411
